description,category
received salary,Income
monthly salary,Income
paycheck deposit,Income
income from job,Income
freelance payment,Income
bonus received,Income
side hustle earnings,Income
interest credited,Income
refund from vendor,Income
cashback received,Income
groceries,Food
vegetable purchase,Food
dinner at restaurant,Food
pizza order,Food
snacks and drinks,Food
shopping at mall,Shopping
bought clothes,Shopping
new shoes purchase,Shopping
amazon order,Shopping
gift shopping,Shopping
bus ticket,Travel
train ticket booking,Travel
flight booking,Travel
taxi fare,Travel
cab ride,Travel
movie ticket,Entertainment
concert ticket,Entertainment
netflix subscription,Entertainment
spotify premium,Entertainment
game purchase,Entertainment
doctor appointment,Health
medicine purchase,Health
hospital charges,Health
gym membership,Health
yoga class,Health
electricity bill,Utilities
water bill payment,Utilities
internet recharge,Utilities
mobile bill,Utilities
cooking gas,Utilities
school fees,Education
online course fee,Education
college tuition,Education
exam registration,Education
books purchase,Education
house rent,Housing
home maintenance,Housing
furniture purchase,Housing
mortgage payment,Housing
insurance premium,Insurance
health insurance,Insurance
car insurance,Insurance
life insurance policy,Insurance
